campaign_id,campaign_name,campaign_type,channel,sub_channel,objective,funnel_stage,target_segment,target_industry,target_region,start_date,end_date,budget,currency,status,landing_page,utm_campaign,utm_source,utm_medium
CMP_00001,SMB Lifecycle Email 2025-09 Campaign,Email,Email,Lifecycle Email,Retargeting,Conversion,SMB,Financial Services,Australia,2025-09-28,2026-01-07,7371.52,USD,Active,/solutions/smb,cmp_00001,lifecycle_email,organic
CMP_00002,Mid-Market Newsletter 2025-06 Campaign,Email,Email,Newsletter,Retargeting,Consideration,Mid-Market,Retail,Europe,2025-06-01,2025-07-03,3200.85,USD,Completed,/solutions/mid_market,cmp_00002,newsletter,organic
CMP_00003,SMB LinkedIn 2026-03 Campaign,Paid Social,Paid Social,LinkedIn,Customer Acquisition,Consideration,SMB,Education,North America,2026-03-20,2026-05-09,1443.87,USD,Paused,/solutions/smb,cmp_00003,linkedin,paid_social
CMP_00004,Enterprise LinkedIn 2026-04 Campaign,Paid Social,Paid Social,LinkedIn,Product Consideration,Conversion,Enterprise,Retail,North America,2026-04-21,2026-07-19,4617.98,USD,Paused,/solutions/enterprise,cmp_00004,linkedin,paid_social
CMP_00005,SMB Partner 2025-05 Campaign,Referral,Referral,Partner,Brand Awareness,Awareness,SMB,Retail,Europe,2025-05-15,2025-07-04,4445.94,USD,Active,/solutions/smb,cmp_00005,partner,organic
CMP_00006,Enterprise LinkedIn 2025-04 Campaign,Paid Social,Paid Social,LinkedIn,Customer Acquisition,Awareness,Enterprise,Professional Services,Australia,2025-04-02,2025-06-30,20898.65,USD,Completed,/solutions/enterprise,cmp_00006,linkedin,paid_social
CMP_00007,Mid-Market Bing Ads 2025-02 Campaign,Paid Search,Paid Search,Bing Ads,Brand Awareness,Consideration,Mid-Market,Manufacturing,Australia,2025-02-19,2025-03-24,6793.45,USD,Completed,/solutions/mid_market,cmp_00007,bing_ads,cpc
CMP_00008,Enterprise Direct 2026-04 Campaign,Direct,Direct,Direct,Customer Acquisition,Awareness,Enterprise,Education,North America,2026-04-29,2026-06-11,26927.22,USD,Active,/solutions/enterprise,cmp_00008,direct,organic
CMP_00009,Mid-Market Meta 2025-02 Campaign,Paid Social,Paid Social,Meta,Lead Generation,Awareness,Mid-Market,Technology,North America,2025-02-22,2025-04-16,14503.17,USD,Paused,/solutions/mid_market,cmp_00009,meta,paid_social
CMP_00010,Mid-Market SEO 2025-10 Campaign,Organic,Organic,SEO,Brand Awareness,Awareness,Mid-Market,Retail,Australia,2025-10-16,2025-11-19,19687.68,USD,Active,/solutions/mid_market,cmp_00010,seo,organic
CMP_00011,Enterprise Newsletter 2025-02 Campaign,Email,Email,Newsletter,Retargeting,Conversion,Enterprise,Retail,Europe,2025-02-02,2025-04-20,7540.09,USD,Active,/solutions/enterprise,cmp_00011,newsletter,organic
CMP_00012,SMB Direct 2025-05 Campaign,Direct,Direct,Direct,Brand Awareness,Conversion,SMB,Professional Services,Europe,2025-05-11,2025-06-10,22104.42,USD,Paused,/solutions/smb,cmp_00012,direct,organic
CMP_00013,Enterprise SEO 2026-01 Campaign,Organic,Organic,SEO,Brand Awareness,Consideration,Enterprise,Retail,North America,2026-01-28,2026-05-16,9419.05,USD,Active,/solutions/enterprise,cmp_00013,seo,organic
CMP_00014,Mid-Market Lifecycle Email 2025-04 Campaign,Email,Email,Lifecycle Email,Retargeting,Conversion,Mid-Market,Professional Services,North America,2025-04-06,2025-05-09,7234.23,USD,Paused,/solutions/mid_market,cmp_00014,lifecycle_email,organic
CMP_00015,SMB SEO 2025-01 Campaign,Organic,Organic,SEO,Product Consideration,Conversion,SMB,Education,Europe,2025-01-29,2025-04-04,1868.76,USD,Active,/solutions/smb,cmp_00015,seo,organic
CMP_00016,Mid-Market Direct 2025-10 Campaign,Direct,Direct,Direct,Product Consideration,Consideration,Mid-Market,Professional Services,North America,2025-10-11,2025-12-07,19784.01,USD,Paused,/solutions/mid_market,cmp_00016,direct,organic
CMP_00017,SMB Direct 2025-08 Campaign,Direct,Direct,Direct,Product Consideration,Consideration,SMB,Technology,North America,2025-08-13,2025-09-12,569.54,USD,Active,/solutions/smb,cmp_00017,direct,organic
CMP_00018,Enterprise Google Ads 2025-08 Campaign,Paid Search,Paid Search,Google Ads,Product Consideration,Consideration,Enterprise,Technology,North America,2025-08-22,2025-11-03,11447.4,USD,Completed,/solutions/enterprise,cmp_00018,google_ads,cpc
CMP_00019,Mid-Market Bing Ads 2025-02 Campaign,Paid Search,Paid Search,Bing Ads,Brand Awareness,Conversion,Mid-Market,Technology,North America,2025-02-21,2025-04-03,8606.13,USD,Completed,/solutions/mid_market,cmp_00019,bing_ads,cpc
CMP_00020,Enterprise Customer Referral 2025-08 Campaign,Referral,Referral,Customer Referral,Brand Awareness,Awareness,Enterprise,Retail,Europe,2025-08-13,2025-09-12,95153.07,USD,Completed,/solutions/enterprise,cmp_00020,customer_referral,organic
CMP_00021,Enterprise Lifecycle Email 2025-07 Campaign,Email,Email,Lifecycle Email,Lead Generation,Conversion,Enterprise,Education,North America,2025-07-22,2025-10-15,33031.12,USD,Paused,/solutions/enterprise,cmp_00021,lifecycle_email,organic
CMP_00022,Mid-Market Google Ads 2025-05 Campaign,Paid Search,Paid Search,Google Ads,Retargeting,Conversion,Mid-Market,Retail,Australia,2025-05-04,2025-07-31,32608.42,USD,Paused,/solutions/mid_market,cmp_00022,google_ads,cpc
CMP_00023,Enterprise Meta 2025-05 Campaign,Paid Social,Paid Social,Meta,Customer Acquisition,Awareness,Enterprise,Technology,Australia,2025-05-27,2025-07-15,3702.44,USD,Paused,/solutions/enterprise,cmp_00023,meta,paid_social
CMP_00024,Mid-Market Direct 2025-10 Campaign,Direct,Direct,Direct,Lead Generation,Awareness,Mid-Market,Financial Services,North America,2025-10-25,2025-11-30,5871.93,USD,Completed,/solutions/mid_market,cmp_00024,direct,organic
